Team,Medal
Great Britain,Bronze
Great Britain,Gold
United States,Silver
United States,Silver
United States,Gold
Sweden,Bronze
Guatemala,Silver
United States,Gold
United States,Gold
United States,Bronze
Canada,Gold
Canada,Silver
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
Olle,Gold
Olle,Gold
United States,Silver
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Silver
Japan,Gold
Nigeria,Gold
Nigeria,Bronze
Nigeria,Silver
Nigeria,Silver
Nigeria,Silver
Egypt,Silver
Morocco,Bronze
Morocco,Gold
Denmark,Gold
Denmark,Bronze
Italy-2,Silver
Argentina,Gold
Italy,Silver
Italy,Bronze
Denmark,Silver
Netherlands,Bronze
Brazil,Gold
Brazil,Gold
Italy,Silver
Hungary,Silver
Hungary,Gold
Hungary,Gold
Hungary,Gold
Mexico,Gold
Brazil,Silver
Brazil,Gold
Brazil,Gold
France,Silver
Brazil,Gold
Mexico,Bronze
France,Gold
Slovenia,Bronze
Slovakia,Bronze
Italy,Silver
Italy,Silver
Spain,Silver
Spain,Silver
Spain,Silver
France,Silver
Israel,Silver
Israel,Gold
Italy,Gold
Italy,Bronze
Italy,Gold
Italy,Bronze
Italy,Gold
Italy,Bronze
Yugoslavia,Bronze
Italy,Bronze
Italy,Gold
Italy,Silver
Italy,Bronze
Italy,Silver
Jamaica,Silver
West Germany,Bronze
Latvia,Silver
Soviet Union,Bronze
Soviet Union,Gold
Unified Team,Gold
Tutti V,Bronze
Tutti V,Bronze
Switzerland,Bronze
Solomon Islands,Silver
Greece,Gold
Greece,Bronze
Poland,Silver
United States,Silver
Norway,Gold
Sweden,Gold
Italy,Gold
Italy,Gold
Italy,Gold
United States,Gold
United States,Bronze
Italy,Gold
Sweden,Silver
Sweden,Gold
Sweden,Gold
Sweden,Gold
Sweden,Gold
Switzerland,Bronze
Switzerland,Bronze
United States,Gold
Australia,Bronze
Australia,Bronze
Australia,Silver
Australia,Bronze
Egypt,Bronze
Sweden,Bronze
Sweden,Gold
Sweden,Gold
Sweden,Bronze
Sweden,Silver
Switzerland,Bronze
Switzerland,Silver
Switzerland,Gold
East Germany,Bronze
Germany,Silver
West Germany,Bronze
West Germany,Silver
West Germany,Bronze
Switzerland,Bronze
Switzerland-2,Silver
France,Silver
France,Silver
Switzerland,Gold
United States,Silver
United States,Gold
United States,Gold
Great Britain,Silver
New Zealand,Gold
Australia,Bronze
Australia,Gold
Czechoslovakia,Bronze
France,Bronze
Peru,Silver
Yugoslavia,Gold
Croatia,Bronze
Brazil,Bronze
Italy,Silver
Brazil,Bronze
Brazil,Bronze
Norway,Gold
Magda IX,Gold
West Germany,Gold
West Germany,Bronze
Finland,Gold
Finland,Silver
Finland,Silver
Finland,Silver
Denmark,Silver
Italy,Gold
Spain,Silver
Cuba,Bronze
Cuba,Bronze
Cuba,Silver
United States-1,Bronze
Australia,Bronze
United States,Silver
Morocco,Bronze
Belgium,Gold
Germany-1,Gold
Germany-1,Gold
Sweden,Silver
Norway,Silver
Russia,Bronze
United States,Silver
Ecuador,Bronze
Norway,Gold
Iran,Silver
Australia,Bronze
Australia,Silver
Australia,Silver
Czechoslovakia,Silver
Philippines,Gold
Philippines,Silver
United States,Gold
Mexico,Gold
New Zealand,Gold
France,Gold
France,Silver
France,Silver
France,Bronze
China,Silver
China,Bronze
China,Silver
China,Silver
China,Gold
China,Bronze
China,Silver
China,Gold
China,Bronze
China,Silver
France,Bronze
Italy,Silver
Italy,Bronze
Latvia,Bronze
Italy,Bronze
China,Bronze
China,Gold
China,Silver
East Germany,Bronze
Great Britain,Bronze
Croatia,Gold
Italy,Bronze
Egypt,Bronze
Hungary,Silver
Hungary,Bronze
Hungary,Silver
Hungary,Gold
Hungary,Bronze
Great Britain,Gold
Great Britain,Gold
Great Britain,Gold
Great Britain,Gold
United Arab Emirates,Gold
West Germany,Gold
West Germany,Bronze
Germany,Bronze
West Germany,Bronze
Austria,Bronze
Czechoslovakia,Bronze
Canada,Bronze
United States,Gold
United States,Gold
United States,Silver
Italy,Gold
Italy,Bronze
United States,Gold
France,Bronze
France,Silver
Hungary,Silver
Hungary,Bronze
